ID	fold	statistic	pval	padj	rgd_symbol	entrezgene	refseq_mrna	refseq_peptide	refseq_ncrna	gene_biotype
Acot3	0.0434277884909839	0.337082205387343	0.740412999565028	0.872131266779211	Acot3	314304	NM_001108041	NP_001101511	NA	protein_coding
Dbi	-0.416470228666325	-3.38944770907036	0.00371893897634542	0.0257941392226746	Dbi	25045	NM_031853	NP_114054	NA	protein_coding
Gpat4	-0.0539793468911798	-0.612006218286594	0.549087208256998	0.745738200806939	Gpat4	290843	NM_001047849	NP_001041314	NA	protein_coding
Dbil5	-0.105399409230716	-1.08977779965611	0.291867898634065	0.519892416277749	Dbil5	59116	NM_021596	NP_067607	NA	protein_coding
Gpam	-0.113914144225961	-1.0839286736163	0.294376167547622	0.521913912952848	Gpam	29653	NM_017274	NP_058970	NA	protein_coding
Hmgcl	0.230863114712825	1.93903409707599	0.0702451223780557	0.202606008927091	Hmgcl	79238	NM_024386	NP_077362	NA	protein_coding
Gcdh	-0.188648511259419	-1.07306773787778	0.299075542703255	0.52745809259735	Gcdh	364975	NM_001108896	NP_001102366	NA	protein_coding
Baat	-0.0782098853325226	-0.682915294886353	0.504377874973003	0.711765436006273	Baat	29725	NM_017300	NP_058996	NA	protein_coding
Acot1	0.0765796603204829	0.6936984168049	0.497767227530871	0.707549667685423	Acot1	NA	NM_031315	NP_112605	NA	protein_coding
Acot2	-0.254926374567703	-1.7729801984078	0.0951650515362499	0.250458638721285	Acot2	192272	NM_138907	NP_620262	NA	protein_coding
Acot8	-0.296235051330568	-2.75022951278693	0.0141756348348162	0.0650379433735727	Acot8	170588	NM_130756	NP_570112	NA	protein_coding
Acot4	-0.0748258882236241	-0.891949944488077	0.385568230127443	0.612578324628882	Acot4	681337	NM_001109440	NP_001102910	NA	protein_coding
Oxsm	-0.209204309865002	-1.34019119925917	0.198807327786128	0.407934320919696	Oxsm	289934	NM_001100508	NP_001093978	NA	protein_coding
Fasn	-0.541819661998266	-6.58204499027904	6.14274803611941e-06	0.0003741435002816	Fasn	50671	NM_017332	NP_059028	NA	protein_coding
Acaca	0.107738990402629	0.707851429326147	0.489167801984009	0.699698684409908	Acaca	NA	NM_022193	NP_071529	NA	protein_coding
Acacb	-0.600648977799947	-2.67193433334697	0.016647989762572	0.0723757107740656	Acacb	116719	NM_053922	NP_446374	NA	protein_coding
Acot12	-0.104094480120787	-0.975061312729867	0.343966140730143	0.572721840991046	Acot12	170570	NM_130747	NP_570103	NA	protein_coding
Acss1	-0.717590998287124	-2.17000036211103	0.0453217756315945	0.148640482826916	Acss1	296259	NM_001106524	NP_001099994	NA	protein_coding
Acly	-0.497659713614956	-4.50502331227807	0.000355295233370338	0.00536221807329343	Acly	24159	NM_016987	NP_058683	NA	protein_coding
Mlycd	-0.152165793867859	-1.33758054161883	0.199638980921895	0.409366801515312	Mlycd	85239	NM_053477	NP_445929	NA	protein_coding
